,epoch,loss,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,mcc,val_mcc
0,0,0.2303484976291656,8.18596076965332,0.00492610828951,0.038177341222763,7.759852409362793,0.6913988590240479,0.7083694338798523,0.6286750435829163,7.75,0.0,0.0083333337679505,8.241666793823242,0.6548196077346802,0.6943652629852295,0.0043992716212867,0.0009785662707286,0.0042943542798465,0.0010101010471601,0.486638863897789,0.5153725937440476,0.9993985867021584,1.0,0.513361136102211,0.4846274062559524,0.6782999126090722,0.6528606493640355,0.5143649380347686,0.4848958294937195,13125,0.04139772056760068,0.022125158768732077
1,1,0.1930964440107345,8.17364501953125,0.0172413792461156,0.2758620679378509,7.522167682647705,0.7110892534255981,0.7376636266708374,0.600439727306366,7.583333492279053,0.1666666716337204,1.3583333492279053,6.891666889190674,0.6721665859222412,0.7056809663772583,0.0340569534813079,0.1394735972508363,0.0332709208983312,0.1431410852847681,0.4792467790854466,0.4761082354106939,0.9978950533059904,0.9784946234698432,0.5207532209145533,0.523891764589306,0.6843678973796771,0.6824146957201832,0.5284602788917478,0.5588541635414004,26250,0.12397107011952375,0.243611578225451
2,2,0.1655406057834625,8.097290992736816,0.0935960561037063,1.150246262550354,6.647783279418945,0.73468017578125,0.7623898983001709,0.5775682330131531,5.349999904632568,2.400000095367432,6.441666603088379,1.8083332777023315,0.7950065732002258,0.7947450876235962,0.1388771115403762,0.4722231207138431,0.1360778803698914,0.4711306527236809,0.4508477310265203,0.2526193223535441,0.9885731477499796,0.6903225683396862,0.5491522689734797,0.7473806776464559,0.7060781869495312,0.717719390786337,0.5783717241105948,0.7369791622234818,39375,0.2539447834518517,0.47352854017520773
3,3,0.1512639075517654,7.9766011238098145,0.2142857164144516,2.731527090072632,5.066502571105957,0.7810742259025574,0.796400785446167,0.5615065693855286,5.508333206176758,2.241666555404663,6.808333396911621,1.4416667222976685,0.8248384594917297,0.8196051120758057,0.3290326341458543,0.5376871303212399,0.3241227859382891,0.5360052146645233,0.3884430185954046,0.2074340628970516,0.9738385207127846,0.7107526936301168,0.6115569814045955,0.7925659371029484,0.7513049523695862,0.7494331050772738,0.6697219422556197,0.7697916684284185,52500,0.41790197259828543,0.5404184261297186
4,4,0.1273168921470642,7.868226528167725,0.3226600885391235,5.114531993865967,2.683497428894043,0.8637002110481262,0.8643067479133606,0.5396930575370789,5.125,2.625,7.0,1.25,0.8342917561531067,0.8312705755233765,0.6209909422625195,0.5125307125307126,0.6164823572588598,0.5097751710654936,0.2543183881433996,0.196078431372549,0.960607428275103,0.6612903225806451,0.7456816118566004,0.803921568627451,0.8396083882978148,0.7256637168141592,0.8119849081693342,0.7578125,65625,0.6504733313103611,0.5203745411350634
5,5,0.1156450659036636,7.793103218078613,0.3977832496166229,5.708127975463867,2.0899014472961426,0.8907470107078552,0.8894950151443481,0.5178971886634827,5.824999809265137,1.924999952316284,6.5333333015441895,1.7166666984558103,0.8373402953147888,0.8319186568260193,0.68700712054993,0.5439752107541369,0.6834320821700637,0.5435320898032032,0.2114641769438945,0.2276243184047365,0.95143587312735,0.7516129017372408,0.7885358230561055,0.7723756815952635,0.8623603141903948,0.7618528558864348,0.844411921736494,0.7723958309351777,78750,0.7031265655242313,0.5441604208206146
6,6,0.1019380092620849,7.76600980758667,0.4248768389225006,6.167487621307373,1.6305419206619265,0.9165120720863342,0.9149332046508788,0.5124293565750122,4.875,2.875,7.050000190734863,1.2000000476837158,0.8330809473991394,0.831646203994751,0.7417818167501453,0.4867657185431996,0.7390314431526779,0.4835777110336496,0.1735255621229725,0.1975308704962485,0.948128101723447,0.6290322580645161,0.8264744378770276,0.8024691295037515,0.8831314307526189,0.7052441205331892,0.8714472741394722,0.7453125008149072,91875,0.7504399628295985,0.4979728925320986
7,7,0.091802142560482,7.762315273284912,0.4285714328289032,6.394088745117188,1.4039409160614014,0.9305120706558228,0.9291706085205078,0.5231915712356567,5.550000190734863,2.200000047683716,6.525000095367432,1.725000023841858,0.8319862484931946,0.8270235061645508,0.7699486455646173,0.5079815909789434,0.7676391365005311,0.5070381258786956,0.1531640494287256,0.2371133983454078,0.9476770405688788,0.7161290348382446,0.8468359505712744,0.7628866016545921,0.8944231570871258,0.7387687219175354,0.8853885837667543,0.7546875010128132,105000,0.7757863666102744,0.5088845027475847
8,8,0.0805984139442443,7.751231670379639,0.4396551847457886,6.677340030670166,1.1206896305084229,0.9464948773384094,0.9449267387390136,0.5119432210922241,5.233333110809326,2.5166666507720947,6.883333206176758,1.3666666746139526,0.8364739418029785,0.8326069116592407,0.8042939062475353,0.5119141029031878,0.8026093994735886,0.5096122402517387,0.1263187073578125,0.2070707150070466,0.9463238605877364,0.6752688092652847,0.8736812926421874,0.7929292849929533,0.9085528711928761,0.7293844287126391,0.9024108473101904,0.7572916617384179,118125,0.8072442663785138,0.5173468178990205
9,9,0.0721358433365821,7.757389068603516,0.4334975481033325,6.864531993865967,0.9334975481033324,0.957810878753662,0.9563268423080444,0.5995779633522034,5.991666793823242,1.7583333253860474,6.300000190734863,1.950000047683716,0.8220505714416504,0.8078310489654541,0.8286403743620849,0.5363526898984506,0.827366211663882,0.5367546487724524,0.1074110835031298,0.2455403993393529,0.947075625827962,0.7731182840852079,0.8925889164968702,0.7544596006606471,0.9190253845193819,0.7636749886195331,0.9145035796898036,0.7682291693636215,131250,0.8302728288883789,0.536506760205542
10,10,0.0642984956502914,7.768472671508789,0.4224137961864471,7.008620738983154,0.7894088625907898,0.9659827351570128,0.9651275873184204,0.6291069388389587,6.099999904632568,1.649999976158142,6.191666603088379,2.058333396911621,0.8192092776298523,0.8041971325874329,0.8481542148536446,0.5367448435242462,0.8471969687284064,0.5376018167936643,0.0922434903364022,0.2522982723103535,0.9484288058621686,0.7870967739950729,0.9077565096635978,0.7477017276896465,0.9276470568672647,0.7668936568925014,0.9242085796480995,0.7682291624563125,144375,0.8490524335598245,0.537444523223277
11,11,0.0585939846932888,7.794334888458252,0.3965517282485962,7.0935959815979,0.7044335007667542,0.9709412455558776,0.970539927482605,0.5905443429946899,5.808333396911621,1.9416667222976685,6.433333396911621,1.8166667222976685,0.8266845941543579,0.8129963874816895,0.8620676511150528,0.5295191455073653,0.8612514180410868,0.5292603385035966,0.08288653937903,0.2382513696912645,0.9515862266436756,0.7494623622669349,0.91711346062097,0.7617486303087355,0.9340318761158312,0.755555552109578,0.9311407213476288,0.7651041632130122,157500,0.8627096488834746,0.5295839857684187
