epoch,loss,acc,tss3,f1b,PrecTf,RecTf,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss3,val_f1b,val_PrecTf,val_RecTf,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc2,val_acc2,num_train_inst
0,0.3082374334335327,0.47920525074005127,-0.02684391476213932,0.5738000273704529,0.4786202311515808,0.9992956519126892,30.510753631591797,0.02150537632405758,0.09139785170555115,33.2365608215332,0.5867260098457336,0.5946927070617676,0.7690477967262268,0.4838373363018036,-0.001075269770808518,0.6475979089736938,0.484089732170105,0.9989235997200012,30.933332443237305,0.03333333507180214,0.0,32.96666717529297,0.5837279558181763,0.6167327761650085,0.0019490957881075344,-0.0010427859120345389,0.0020380283967493806,-0.001076426351820925,0.5213797805705663,0.5159102875132571,0.999295650665138,0.9989235736481791,0.47862021942943367,0.48408971248674293,0.647239959018265,0.6521433490644837,0.47920524850212276,0.4838373195041521,12004
1,0.27268537878990173,0.4819835126399994,-0.034551430493593216,0.5735307335853577,0.4799560308456421,0.9992956519126892,30.510753631591797,0.02150537632405758,0.2688172161579132,33.059139251708984,0.6159610748291016,0.6263501644134521,0.7360484600067139,0.5057351589202881,0.03798424080014229,0.6519801020622253,0.4948565363883972,0.9838535785675049,30.46666717529297,0.5,1.8666666746139526,31.100000381469727,0.6167922019958496,0.6398181319236755,0.0070418804548726364,0.03929850434704724,0.007361468214350575,0.04047645723042215,0.5200439666053506,0.5051434747998407,0.999295650665138,0.983853606293191,0.47995603339464943,0.4948565252001593,0.6484602746781527,0.6585014419617283,0.48198351067922757,0.5057351417476776,24008
2,0.2622339725494385,0.48812931776046753,0.0017827848205342889,0.5741117596626282,0.48292890191078186,0.9987673759460449,30.4946231842041,0.037634409964084625,0.6774193644523621,32.65053939819336,0.6211430430412292,0.6324338912963867,0.6933302879333496,0.5662147998809814,0.14118318259716034,0.6685420274734497,0.5296273827552795,0.9332615733146667,28.899999618530273,2.066666603088379,7.300000190734863,25.66666603088379,0.6489394903182983,0.6591131687164307,0.01827453878622442,0.1512019508668719,0.01909324677758728,0.15469737518241256,0.5170711114345142,0.47037262998237456,0.9987673885611632,0.9332615726763127,0.4829288885654857,0.5296273700176254,0.6510559989104534,0.6757599402793226,0.4881292975032396,0.5662148119903654,36012
3,0.250667005777359,0.506314218044281,0.007722057867795229,0.5755010843276978,0.49196282029151917,0.9970065355300903,30.440860748291016,0.09139785170555115,1.8924731016159058,31.435483932495117,0.6307753920555115,0.6432969570159912,0.6684313416481018,0.6272158622741699,0.24277636408805847,0.6921208500862122,0.5739972591400146,0.8934338092803955,27.66666603088379,3.299999952316284,12.433333396911621,20.53333282470703,0.6884886026382446,0.6861817836761475,0.051569419063165235,0.2660905490636886,0.05378986678773079,0.2705824409774078,0.5080371843984585,0.4260027658138694,0.9970065152105858,0.8934337989725278,0.4919628156015416,0.5739972341861306,0.6588317465592839,0.6989473684971352,0.5063141977966915,0.6272158519648227,48016
4,0.24688145518302917,0.5222259759902954,0.007119929417967796,0.5752201080322266,0.5001772046089172,0.9941891431808472,30.354839324951172,0.17741934955120087,2.9946236610412598,30.33333396911621,0.6403177380561829,0.6508472561836243,0.6603713035583496,0.6621480584144592,0.3096930682659149,0.7065560817718506,0.6046165227890015,0.8740581274032593,27.066667556762695,3.9000000953674316,15.266666412353516,17.700000762939453,0.7106603980064392,0.6998910903930664,0.08069932772872195,0.3326553431331941,0.0840423186470054,0.3371521474655741,0.4998228208671667,0.39538347228644555,0.9941891180917001,0.8740581279465128,0.5001771791328333,0.6046165277135545,0.6655271997705517,0.7147887309976595,0.5222259634526002,0.6621480653775949,60020
5,0.23729310929775238,0.5527024865150452,0.01743224449455738,0.5770565867424011,0.5168105959892273,0.9906673431396484,30.247312545776367,0.2849462330341339,5.048387050628662,28.279569625854492,0.6501923203468323,0.656559407711029,0.6469905376434326,0.6767466068267822,0.3416779339313507,0.7105973958969116,0.6207975149154663,0.854682445526123,26.46666717529297,4.5,16.799999237060547,16.16666603088379,0.725775957107544,0.717110276222229,0.1368795383051273,0.36017200880020883,0.14214341591004898,0.36428811740284495,0.4831894093200502,0.3792024881728353,0.9906673713498103,0.8546824566387188,0.5168105906799498,0.6207975118271647,0.6792635146258161,0.7192029086444538,0.5527024822068497,0.6767466164972313,72024
6,0.23681089282035828,0.5708873271942139,0.05213085189461708,0.5808400511741638,0.5273137092590332,0.9892586469650269,30.204301834106445,0.3279569745063782,6.252688407897949,27.07526969909668,0.6550213694572449,0.6579535603523254,0.6341686844825745,0.6934306621551514,0.359327495098114,0.7189128398895264,0.6391837000846863,0.8428417444229126,26.100000381469727,4.866666793823242,18.233333587646484,14.733333587646484,0.7375509738922119,0.7216616868972778,0.17060120246538132,0.39213570249529334,0.1768695788154373,0.39592568614984813,0.47268631685560036,0.3608163271407096,0.9892586730460353,0.8428417638141519,0.5273136831443996,0.6391836728592905,0.6879324053839514,0.7270194976452877,0.5708873537054068,0.6934306558454965,84028
7,0.22944273054599762,0.5954706072807312,0.07746763527393341,0.5836325287818909,0.5422059297561646,0.9885542988777161,30.182796478271484,0.3494623601436615,7.844086170196533,25.483871459960938,0.6696313619613647,0.6685099601745605,0.638973593711853,0.694473385810852,0.37420034408569336,0.7168636918067932,0.6418527960777283,0.8353067636489868,25.866666793823242,5.099999904632568,18.53333282470703,14.433333396911621,0.7430626749992371,0.7237682342529297,0.21644173708596878,0.393889646653402,0.22391486537100103,0.3974908011621001,0.4577940876259698,0.35814722899753,0.9885543234127186,0.8353067847342159,0.5422059123740302,0.6418527710024701,0.700305621124007,0.725912068654541,0.5954706192889606,0.694473408324206,96032
8,0.2187137007713318,0.624263346195221,0.0749005675315857,0.5881708860397339,0.5607756972312927,0.9878499507904053,30.161291122436523,0.3709677457809448,9.704300880432129,23.623655319213867,0.6864169239997864,0.683405876159668,0.6391417384147644,0.6986443996429443,0.36885589361190796,0.7141028642654419,0.6471081376075745,0.8310011029243469,25.733333587646484,5.233333110809326,18.933332443237305,14.033333778381348,0.7486374974250793,0.7277882695198059,0.27038912998615705,0.4018545243351642,0.2790259709616425,0.40531855695562724,0.4392242975428531,0.3528918742225266,0.987849973780777,0.831001083785673,0.5607757024571469,0.6471081257774733,0.7154243552450065,0.727615456785533,0.6242633533335893,0.698644415843662,108036
9,0.2150139957666397,0.6387438774108887,0.062112171202898026,0.5862470269203186,0.5708741545677185,0.9843282103538513,30.05376434326172,0.4784946143627167,10.73655891418457,22.591398239135742,0.6919476985931396,0.6845459938049316,0.6218067407608032,0.7085505723953247,0.4002915322780609,0.7233561873435974,0.6625658869743347,0.8116254210472107,25.133333206176758,5.833333492279053,20.16666603088379,12.800000190734863,0.7584059238433838,0.7331861853599548,0.29744170050744073,0.4204849093873938,0.30647695287497023,0.4233544069044277,0.429125813863275,0.3374340993659415,0.9843282275632859,0.8116253987204267,0.570874186136725,0.6625659006340585,0.7226423658444608,0.729559743726811,0.6387438963028407,0.7085505661607198,120040
