epoch,loss,acc,tss3,f1b,PrecTf,RecTf,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss3,val_f1b,val_PrecTf,val_RecTf,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc2,val_acc2,num_train_inst
0,0.2025434970855713,0.7467476725578308,0.1695665866136551,0.6525408625602722,0.6803135871887207,0.9520036578178406,7.780821800231934,0.3922789394855499,4.156911373138428,3.6562888622283936,0.8045309782028198,0.7790470123291016,0.3869028091430664,0.8319714069366455,0.6087390184402466,0.8164350390434265,0.7925636172294617,0.8737863898277283,6.5853657722473145,0.9512194991111755,6.658536434173584,1.7235772609710693,0.9104909300804138,0.9114707708358765,0.4885341091637628,0.6647249743551936,0.48404062707605,0.6681607956159363,0.3196864112043015,0.20743640365331273,0.9520036578554262,0.8737864079205574,0.6803135887956985,0.7925635963466873,0.7935479776998053,0.8311954824939697,0.7467476805282285,0.8319713962987381,13129
1,0.18445461988449097,0.776115894317627,0.2064799815416336,0.6624212265014648,0.7142525315284729,0.936919093132019,7.657534122467041,0.5155666470527649,4.749688625335693,3.063511848449707,0.835646390914917,0.8115764856338501,0.3784177303314209,0.8335036039352417,0.6194108724594116,0.8296629786491394,0.7805789113044739,0.9018338918685913,6.796748161315918,0.7398374080657959,6.4715447425842285,1.9105690717697144,0.9096536040306091,0.9054456949234009,0.5487648774407871,0.668661015400483,0.5448247272422466,0.6738998333182113,0.2857474780688538,0.21942109384851957,0.9369190884106698,0.9018338740727002,0.7142525219311462,0.7805789061514804,0.8105721023197803,0.8368368419790759,0.7761159106768785,0.8335035786564657,26258
2,0.16969376802444458,0.7891252040863037,0.22401870787143707,0.6683912873268127,0.7281116843223572,0.9376809597015381,7.663760662078857,0.5093399882316589,4.951432228088379,2.8617684841156006,0.8498274683952332,0.8266783952713013,0.39333000779151917,0.8401430249214172,0.6086995601654053,0.8236466646194458,0.7874531745910645,0.907227635383606,6.837398529052734,0.6991869807243347,6.536585330963135,1.845528483390808,0.9026811122894287,0.8909924030303955,0.5752205964504203,0.6818223829683032,0.5714074208297117,0.6870530279058022,0.2718883245076836,0.212546815232464,0.9376809352993459,0.9072276192159842,0.7281116754923164,0.787453184767536,0.8197136095513605,0.8431077715419065,0.7891251768684902,0.840143003376059,39387
3,0.1545107513666153,0.8034587502479553,0.2398238480091095,0.6770666837692261,0.7427884340286255,0.9416425228118896,7.696139335632324,0.4769614040851593,5.148194313049316,2.665006160736084,0.8642089366912842,0.8423724174499512,0.3968588411808014,0.8110316395759583,0.5835631489753723,0.7798383831977844,0.82346111536026,0.7648327946662903,5.764227867126465,1.772357702255249,7.146341323852539,1.2357723712921143,0.8992549180984497,0.8978807926177979,0.6042782186397767,0.6196281696683326,0.6005523332317768,0.6174031193817036,0.2572115372446195,0.1765389041717085,0.9416425394382639,0.7648328031389088,0.7427884627553806,0.8234610958282915,0.8304777262155998,0.7930648837821871,0.8034587536629568,0.8110316663717144,52516
4,0.15200160443782806,0.8037703633308411,0.2474604845046997,0.6767426133155823,0.7436144351959229,0.9404236078262329,7.686176776885986,0.48692402243614197,5.163138389587402,2.650062322616577,0.8677161931991577,0.8468354940414429,0.3847111165523529,0.8263534307479858,0.5972002148628235,0.8003748655319214,0.7997956871986389,0.844660222530365,6.365853786468506,1.1707316637039185,6.788618087768555,1.5934959650039673,0.9071441292762756,0.9051486849784851,0.6049334978402673,0.6527068523158558,0.6012460317019936,0.6545535108371268,0.2563855476934655,0.2002042898930496,0.9404235877677506,0.8446602016995463,0.7436144523065346,0.7997957101069504,0.8305187347468879,0.8216159532975806,0.8037703503345689,0.826353426157928,65645
5,0.14724723994731903,0.8156890273094177,0.26594027876853943,0.682133674621582,0.7564463019371033,0.9431662559509277,7.708592891693115,0.4645080864429474,5.3312578201293945,2.481942653656006,0.8723651170730591,0.8515547513961792,0.4082029461860657,0.7982635498046875,0.5441270470619202,0.7564553022384644,0.8212560415267944,0.7335490584373474,5.5284552574157715,2.0081300735473633,7.178861618041992,1.2032520771026611,0.8920244574546814,0.8929634690284729,0.6290824385561062,0.5931943165670952,0.6255060586453318,0.5899991238790152,0.24355370162942463,0.1787439675121792,0.9431662366969945,0.73354908285889,0.7564462983705754,0.8212560324878208,0.8395497135694912,0.7749287720724196,0.8156890292003841,0.7982635298661573,78774
6,0.14620304107666016,0.8084443211555481,0.24373523890972137,0.6815134882926941,0.7483059167861938,0.9422520399093628,7.701120853424072,0.4719800651073456,5.222914218902588,2.5902864933013916,0.8721904754638672,0.8518017530441284,0.4415471851825714,0.8355464935302734,0.5900870561599731,0.8210254311561584,0.7722772359848022,0.9255663156509399,6.97560977935791,0.5609756112098694,6.3252034187316895,2.056910514831543,0.8897955417633057,0.86983323097229,0.6143925918063243,0.6734317226805429,0.6107250842941729,0.6801735303571594,0.2516940983903016,0.22772276705038091,0.942252020400581,0.9255663430932602,0.7483059016096985,0.772277232949619,0.8341539068131728,0.8420019658363491,0.8084443400891925,0.8355464807308105,91903
7,0.14659562706947327,0.8089896440505981,0.2412889450788498,0.6739538908004761,0.7500912547111511,0.9393569827079773,7.677459716796875,0.4956413507461548,5.2552924156188965,2.557907819747925,0.8721664547920227,0.8516435027122498,0.4754747152328491,0.7553626298904419,0.44498592615127563,0.6639211773872375,0.8294117450714111,0.6084142327308655,4.5853657722473145,2.9512195587158203,7.439024448394775,0.9430894255638123,0.8562818169593811,0.8572333455085754,0.6155513683664937,0.5026572415735527,0.6119741445551767,0.49590210869033946,0.24990874149023568,0.1705882370064622,0.9393570021158257,0.6084142314967101,0.7500912585097643,0.8294117629935378,0.8341225858507317,0.7019290544332517,0.8089896397775095,0.7553626126011858,105032
8,0.14244866371154785,0.8160785436630249,0.2700617015361786,0.6769484281539917,0.7568459510803223,0.9433186054229736,7.709837913513184,0.46326276659965515,5.336239337921143,2.476961374282837,0.8772245049476624,0.8575712442398071,0.4828575551509857,0.748212456703186,0.46678322553634644,0.6517522931098938,0.8477563858032227,0.5706580281257629,4.3008131980896,3.2357723712921143,7.609755992889404,0.772357702255249,0.8538497090339661,0.8534227013587952,0.6298702028837773,0.48653537411639797,0.6262959809464097,0.4785144976788369,0.24315403732851434,0.15224358047996137,0.9433186027272504,0.5706580464716239,0.7568459626714856,0.8477564195200387,0.8398562004138536,0.682140564477192,0.816078524436203,0.7482124634090436,118161
9,0.14571286737918854,0.8105476498603821,0.2494986653327942,0.6748895645141602,0.7499092817306519,0.9443851709365845,7.718555450439453,0.4545454680919647,5.239103317260742,2.574097156524658,0.8731697201728821,0.8531224727630615,0.38043269515037537,0.8207354545593262,0.5915669798851013,0.7998819947242737,0.800000011920929,0.828478991985321,6.243902206420898,1.2926828861236572,6.821138381958008,1.5609755516052246,0.9085766673088074,0.9071729183197021,0.6186252383901424,0.6411009290057756,0.6149302914640842,0.6422520089050199,0.2500907448079029,0.2,0.9443851883608407,0.8284789635822698,0.7499092551920971,0.8,0.8359859715210107,0.8139904606539702,0.8105476338590601,0.8207354487292786,131290
