epoch,loss,acc,tss3,f1b,PrecTf,RecTf,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss3,val_f1b,val_PrecTf,val_RecTf,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc2,val_acc2,num_train_inst
0,0.1817186325788498,0.7053375840187073,0.06734135001897812,0.6011015176773071,0.6217726469039917,0.9795738458633423,29.908601760864258,0.6236559152603149,15.134408950805664,18.19354820251465,0.7584679126739502,0.7436962127685547,1.1049937009811401,0.5161626935005188,0.0008130073547363281,0.0015873016091063619,1.0,0.0010764262406155467,0.03333333507180214,30.933332443237305,32.96666717529297,0.0,0.659224271774292,0.6601158380508423,0.4234588527532823,0.0011100623958928194,0.43367937745005447,0.001076426351820814,0.3782273394508509,0.0,0.9795738683370278,0.0010764263518208922,0.6217726605491491,1.0,0.7607001224700294,0.002150537808074586,0.7053376007576683,0.5161626804958479,12004
1,0.19306841492652893,0.7631756067276001,0.12251849472522736,0.6302127838134766,0.6813924312591553,0.9478781223297119,28.940860748291016,1.5913978815078735,19.795698165893555,13.532258033752441,0.792968213558197,0.7635812759399414,0.7861447930335999,0.6392074823379517,0.2541431784629822,0.40903332829475403,0.954023003578186,0.2680301368236542,8.300000190734863,22.66666603088379,32.56666564941406,0.4000000059604645,0.7270375490188599,0.7350590825080872,0.5331003635664505,0.26160262777711313,0.541844907613686,0.25589668124420406,0.3186075904431471,0.0459770111398852,0.9478781474766266,0.26803014994686164,0.6813924095568529,0.9540229888601148,0.7928418912220146,0.41848740719501343,0.763175617939089,0.6392075094533758,24008
2,0.20443828403949738,0.7476847767829895,0.18275676667690277,0.6373767256736755,0.6674575209617615,0.9411868453025818,28.73655891418457,1.795698881149292,19.010753631591797,14.317204475402832,0.7870465517044067,0.7645502686500549,0.7309367656707764,0.692909300327301,0.36201128363609314,0.5919851660728455,0.8035714030265808,0.48439180850982666,15.0,15.966666221618652,29.299999237060547,3.6666667461395264,0.7546157240867615,0.7371398210525513,0.5029502570882833,0.37771934187498796,0.5116014217498566,0.37316836336697334,0.3325424619875498,0.19642857484975637,0.9411868295759077,0.4843918261219899,0.6674575380124502,0.8035714251502436,0.7810330943690992,0.6044325094888954,0.7476847967254584,0.6929092807979998,36012
3,0.23506814241409302,0.7635965943336487,0.15641796588897705,0.6342471241950989,0.6841092705726624,0.9392498731613159,28.677419662475586,1.8548387289047241,20.086021423339844,13.241935729980469,0.7849744558334351,0.7503759860992432,0.7216541171073914,0.6913451552391052,0.35635024309158325,0.5819306969642639,0.818525493144989,0.466092586517334,14.433333396911621,16.53333282470703,29.766666412353516,3.200000047683716,0.7597180604934692,0.7448378801345825,0.533581177684895,0.3739083710325504,0.5419277137929885,0.3690248341585065,0.31589072890093944,0.1814744817103498,0.9392498679551208,0.4660925814105016,0.6841092710990606,0.8185255182896503,0.7916295625391134,0.5939643414008279,0.7635965627407284,0.691345155262761,48016
4,0.2585979104042053,0.7289105653762817,0.20486995577812195,0.6334378123283386,0.6503607630729675,0.9364324808120728,28.591398239135742,1.9408602714538574,17.956989288330078,15.370967864990234,0.7524478435516357,0.723110556602478,0.6557385921478271,0.692909300327301,0.3573532700538635,0.6046326756477356,0.7777777910232544,0.5123789310455322,15.866666793823242,15.100000381469727,28.433332443237305,4.5333333015441895,0.7648642063140869,0.7455753087997437,0.46662038082586077,0.37878695240387644,0.4752290482586792,0.3748662558251801,0.34963923071346314,0.22222221962506997,0.9364324695868567,0.5123788977356467,0.6503607692865369,0.7777777803749301,0.7676097003511265,0.6177806595946302,0.7289105907885661,0.6929092730460602,60020
5,0.21655066311359406,0.7454116940498352,0.2483270913362503,0.6390589475631714,0.6664994359016418,0.935728132724762,28.56989288330078,1.9623656272888184,19.032258987426758,14.295699119567871,0.7730715274810791,0.7447115182876587,0.5721387267112732,0.71793532371521,0.41677895188331604,0.6591764092445374,0.7795389294624329,0.5823466181755066,18.03333282470703,12.933333396911621,27.866666793823242,5.099999904632568,0.8067975640296936,0.799270749092102,0.4983448508355917,0.4309516691002015,0.5067879778139024,0.42764488533573,0.3335005642430221,0.2204610967344246,0.9357281209115859,0.5823466012016975,0.6664994357569779,0.7795389032655754,0.7784939935826103,0.6666666607906696,0.745411688090329,0.7179353479961954,72024
6,0.21371427178382874,0.74953693151474,0.23498176038265228,0.6271920800209045,0.6711825728416443,0.9334389567375183,28.5,2.0322580337524414,19.365591049194336,13.96236515045166,0.7745290994644165,0.7477090358734131,0.6276737451553345,0.7085505723953247,0.39030078053474426,0.6220880746841431,0.8042762875556946,0.5263724327087402,16.299999237060547,14.666666984558105,29.0,3.9666666984558105,0.7773593068122864,0.7587177157402039,0.506204559768689,0.410349858973421,0.5145004515085785,0.4060488664162072,0.3288174151623569,0.19572369284009453,0.9334389866774399,0.52637242641512,0.671182584837643,0.8042763071599055,0.7808794334914066,0.6363044740899417,0.7495369632531075,0.7085505661607198,84028
7,0.2034553438425064,0.75383061170578,0.2299642413854599,0.6285165548324585,0.6736417412757874,0.9410107135772705,28.731182098388672,1.8010752201080322,19.408601760864258,13.919354438781738,0.7790313959121704,0.7537578344345093,0.6033594608306885,0.7215849757194519,0.41598784923553467,0.6469279527664185,0.8081123232841492,0.5575888156890869,17.266666412353516,13.699999809265137,28.866666793823242,4.099999904632568,0.7969775795936584,0.7818068265914917,0.5147930203066408,0.43733334010810543,0.5233627358434316,0.43322075944684046,0.32635824936576985,0.1918876741840232,0.9410107414817008,0.5575888049679432,0.6736417506342302,0.8081123258159768,0.7851895393622988,0.6598726117667516,0.7538306123197726,0.7215849870340691,96032
8,0.1889214962720871,0.7742885947227478,0.20490239560604095,0.6481508612632751,0.6951314806938171,0.9403063654899597,28.70967674255371,1.8225806951522827,20.73655891418457,12.591398239135742,0.801174521446228,0.7720141410827637,0.5955377817153931,0.7267987728118896,0.4273844063282013,0.6509347558021545,0.8219395875930786,0.5565123558044434,17.233333587646484,13.733333587646484,29.233333587646484,3.7333333492279053,0.7960444092750549,0.7808641791343689,0.5543036062664403,0.4476516865856649,0.5625035078445784,0.44326667568986666,0.30486853537633224,0.17806041181786678,0.9403063891076238,0.5565123779738316,0.6951314646236677,0.8219395881821332,0.7993413579905676,0.6636713733967226,0.774288592254222,0.7267987477982906,108036
9,0.19329479336738586,0.7706684470176697,0.20690378546714783,0.6404357552528381,0.6919578909873962,0.9378411769866943,28.634408950805664,1.897849440574646,20.580644607543945,12.74731159210205,0.7954463362693787,0.7668081521987915,0.6000677943229675,0.7361835241317749,0.45360901951789856,0.7025787234306335,0.7569866180419922,0.6706135869026184,20.766666412353516,10.199999809265137,26.299999237060547,6.666666507720947,0.8027490973472595,0.7850749492645264,0.547204623386828,0.47001586961705977,0.5553601232842889,0.4683890944020084,0.30804208778329234,0.2430133636020064,0.937841170599079,0.6706135643964074,0.6919579122167077,0.7569866363979936,0.7963516794688995,0.7111872163548615,0.77066846507693,0.7361835243335937,120040
