,epoch,loss,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,mcc,val_mcc
0,0,0.9908406734466552,4.292652606964111,0.0112079698592424,0.1544209271669387,11.528019905090332,0.4487967491149902,0.4929912090301513,0.991227686405182,2.09756088256836,0.0,0.0,13.821138381958008,0.1947276890277862,0.3641978502273559,0.0057527063890004,0.0,0.0106140409365811,0.0,0.7286681331850238,0.8682328971913794,0.997395833424624,1.0,0.2713318668149762,0.1317671028086206,0.42660891440373605,0.23285197543138378,0.2781802632349343,0.1317671028086206,13129,0.04649391583437291,0.0
1,1,0.778548002243042,4.270236492156982,0.0336239114403724,0.874221682548523,10.808218955993652,0.4216836392879486,0.5054914951324463,0.9058115482330322,2.09756088256836,0.0,2.7235772609710693,11.09756088256836,0.2726952135562897,0.3999382853507995,0.0374287595482134,0.0607479089317327,0.0670196094938286,0.1970588263198991,0.7167988122629149,0.8410351249572856,0.9921874995266416,1.0,0.2832011877370851,0.1589648750427144,0.4406322262849588,0.2743221618978844,0.3218041597705954,0.3028600600860926,26258,0.12844386015125392,0.17698991977512935
2,2,0.663730263710022,4.242839336395264,0.0610211715102195,3.1506848335266118,8.531755447387695,0.5089671611785889,0.5567182898521423,0.6798515319824219,1.829268336296081,0.2682926952838897,9.87804889678955,3.943089485168457,0.724403440952301,0.6648554801940918,0.1575756069611397,0.3366549299307947,0.2555158261442845,0.5867989027247118,0.6678689689804137,0.6830985893677729,0.9858217590002896,0.8720930207776598,0.3321310310195863,0.3169014106322271,0.4968645306534395,0.4648760350529972,0.4624912459480697,0.7354443305292392,39387,0.28286044781761,0.4128451069997657
3,3,0.5971296429634094,4.143212795257568,0.1606475710868835,6.313823223114014,5.368617534637451,0.6539568305015564,0.6474040746688843,0.6505473256111145,1.7479674816131592,0.3495934903621673,10.788618087768556,3.032520294189453,0.7776896953582764,0.7143444418907166,0.3640215029349534,0.3980104410830652,0.5031277284974096,0.6139215759473116,0.564414770705514,0.6343537388672253,0.962673609872866,0.8333333357013474,0.435585229294486,0.3656462611327746,0.5997836642919808,0.5082742346593188,0.6541247995516515,0.7875383089186908,52516,0.4546110079163821,0.4530000641923773
4,4,0.5288329124450684,4.133250236511231,0.1706102043390274,7.779576778411865,3.9028642177581783,0.7335234880447388,0.7132626175880432,0.6235868334770203,1.6260162591934204,0.4715447127819061,11.016260147094728,2.804877996444702,0.8016296625137329,0.7378427386283875,0.4916405681090018,0.388814105729705,0.6262792826155426,0.5722526256506328,0.4856655837803148,0.6330275187397252,0.9603587972510276,0.7751937993307338,0.5143344162196851,0.3669724812602749,0.6698960527295544,0.49813200902898097,0.7451896901766126,0.7941777349109309,65645,0.5555871664146306,0.4318697419053643
5,5,0.4549360871315002,4.153175354003906,0.1506849378347396,8.466999053955078,3.215442180633545,0.79167240858078,0.768057107925415,0.5340349674224854,1.5040650367736816,0.5934959053993225,11.918699264526367,1.902438998222351,0.8636720776557922,0.8055970072746277,0.5631182756598082,0.4581516296482018,0.6897512425997028,0.5794072167294511,0.4363698028183451,0.5584725509431451,0.9649884225748496,0.7170542731480878,0.5636301971816549,0.4415274490568549,0.7116184610920342,0.546528808439788,0.7894367804270629,0.8432073581206947,78774,0.6137621278247853,0.4778503306964979
6,6,0.3914442360401153,4.135740756988525,0.1681195497512817,9.140722274780272,2.5417184829711914,0.8440210223197937,0.8201360702514648,0.5735036730766296,1.6341463327407837,0.4634146392345428,11.42276382446289,2.398374080657959,0.8347697257995605,0.7715253233909607,0.6331058316963226,0.4352521486550348,0.7433700795120628,0.605540342011047,0.3806415571600741,0.5947580755422709,0.9609374984852532,0.7790697646332857,0.6193584428399259,0.405241924457729,0.7532320208697574,0.5331564884732978,0.8304899912875057,0.8202247091934101,91903,0.6685709552624123,0.47093706001763
7,7,0.3195101916790008,4.202988624572754,0.1008717343211174,9.625155448913574,2.0572850704193115,0.8835108876228333,0.8638121485710144,0.5046002864837646,1.414634108543396,0.6829268336296082,11.910569190979004,1.9105690717697144,0.8714917898178101,0.8142430186271667,0.6999780629354224,0.429556996921998,0.8004618738980558,0.5361833062323274,0.3286254196945169,0.5745721293306985,0.9765624983364836,0.6744185973819105,0.6713745803054831,0.4254278706693015,0.7957090667600372,0.5217391266116309,0.8649996130324418,0.8370786537258352,105032,0.7273980401984029,0.44612877887354824
8,8,0.2713053822517395,4.207970142364502,0.0958904102444648,10.051058769226074,1.6313823461532593,0.9124956727027892,0.8950287103652954,0.3894919455051422,0.7317073345184326,1.3658536672592163,13.113821029663086,0.707317054271698,0.9289348125457764,0.9041556119918824,0.7532133033867301,0.3433833404215861,0.8380759471842301,0.2976607435746297,0.2793772681750478,0.4915254110921494,0.977719907726486,0.3488372132673722,0.7206227318249522,0.5084745889078506,0.829711478069689,0.4137931104222318,0.8919529487012938,0.8697650662049605,118161,0.7720211247636065,0.3511052193372842
9,9,0.2256752699613571,4.220423221588135,0.0834371075034141,10.397260665893556,1.2851805686950684,0.9381495118141174,0.9253897666931152,0.4094326794147491,0.7317073345184326,1.3658536672592163,13.089430809020996,0.7317073345184326,0.919516921043396,0.8849791884422302,0.8000560699008629,0.3394165751602574,0.8706038359735706,0.2958960352747,0.2334313578763647,0.5,0.9806134258262452,0.3488372132673722,0.7665686421236353,0.5,0.8604798733607361,0.4109589068610888,0.9143880984137136,0.8682328887159914,131290,0.8126787191709933,0.34639477018614806
