,epoch,loss,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,mcc,val_mcc
0,0,0.2910494804382324,7.572670936584473,0.590062141418457,3.68447208404541,4.145341396331787,0.7583403587341309,0.7326422333717346,0.5660340785980225,4.876032829284668,2.719008207321167,6.950413227081299,1.3471074104309082,0.8231488466262817,0.81546950340271,0.4020046958436096,0.4833473658788275,0.3982822601965694,0.4796515755874058,0.3537580673718353,0.2164674679567363,0.9277126746912052,0.6420021703350439,0.6462419326281647,0.7835325320432637,0.7618095579479933,0.7057416213869115,0.7038993433307291,0.744149766341698,13125,0.4498969968489778,0.4908627429233494
1,1,0.2136500477790832,7.68447208404541,0.47826087474823,4.5440993309021,3.2857143878936768,0.8093403577804565,0.7816906571388245,0.5304245352745056,4.479338645935059,3.1157023906707764,7.495867729187012,0.8016529083251953,0.8417016267776489,0.8331320285797119,0.5256110237676269,0.4996014351678717,0.5217677712603814,0.4931579390016236,0.2995130845130379,0.1517996952065735,0.9414092219894314,0.5897714869934186,0.7004869154869621,0.8482003047934266,0.8032722984974301,0.6957637943713472,0.76464190860131,0.7535101401949812,26250,0.5619657218147741,0.5229711137887
2,2,0.1796776354312896,7.686956405639648,0.4757764041423797,5.001242160797119,2.828571319580078,0.8419612646102905,0.8160996437072754,0.6564710736274719,6.355371952056885,1.2396694421768188,5.140495777130127,3.15702486038208,0.7825881242752075,0.7619866132736206,0.5840359170657036,0.45147639446649,0.5804570493410215,0.4563010097397744,0.2689899540463599,0.3318853200335135,0.9417135884232032,0.8367791065473325,0.73101004595364,0.6681146799664864,0.8230912499838869,0.7429951668132292,0.7933820128595945,0.7233489292804799,39375,0.6114711139943262,0.4649751369924565
3,3,0.1659075170755386,7.701863288879394,0.460869550704956,5.331676959991455,2.4981367588043213,0.860639214515686,0.8351224064826965,0.5406323671340942,5.4132232666015625,2.1818182468414307,6.8512396812438965,1.4462809562683103,0.8314922451972961,0.8138420581817627,0.6278165803658774,0.5406448101602601,0.6244853665663948,0.5384284431983379,0.244915367365279,0.210843365537461,0.9435397973004804,0.7127312282652203,0.7550846326347209,0.7891566344625389,0.8388580649909183,0.7489994310927951,0.8149759140167235,0.7717108689808283,52500,0.6495026398629692,0.5430045629778487
4,4,0.1430409550666809,7.767701625823975,0.395031064748764,5.472049713134766,2.3577640056610107,0.8801981806755066,0.8589658737182617,0.5259004235267639,5.148760318756104,2.4462809562683105,7.148760318756104,1.1487603187561035,0.8515272736549377,0.8360415101051331,0.6538213600555055,0.5433942157402466,0.6504790875170001,0.5394645611340767,0.2328548722075139,0.1824146969703164,0.9516055370519494,0.6779107752432264,0.767145127792486,0.8175853030296835,0.8494769674993309,0.741225463117767,0.8278701214962757,0.7737909536039927,65625,0.6746962639228057,0.550926847181764
5,5,0.1354751735925674,7.689441204071045,0.4732919335365295,5.599999904632568,2.229813575744629,0.8894509673118591,0.8711762428283691,0.5492374897003174,5.826446056365967,1.7685950994491575,6.371901035308838,1.925619840621948,0.8233311176300049,0.806445300579071,0.6602534941571354,0.5345986073649992,0.6572329398977372,0.535066473077868,0.2247964817157428,0.248400860649308,0.9420179582551872,0.7671381809307198,0.7752035182842572,0.751599139350692,0.8505083887000872,0.7592891658759633,0.8309771686867355,0.7675506987047279,78750,0.6769572304112661,0.5347032412918835
6,6,0.1282385736703872,7.678260803222656,0.4844720363616943,5.762732982635498,2.0670807361602783,0.8998724222183228,0.8825971484184265,0.565504252910614,5.52892541885376,2.066115617752075,6.595041275024414,1.702479362487793,0.8382181525230408,0.818160891532898,0.6794476391875209,0.5238475833078249,0.676647037966883,0.5227858941624177,0.212109624665978,0.2354285804717397,0.9406483042036736,0.7279651804652518,0.7878903753340221,0.7645714195282604,0.8575194228856494,0.7458193941748339,0.8404536286195801,0.7628705140482642,91875,0.6932889523896631,0.5244013547908725
7,7,0.1262696832418441,7.725465774536133,0.4372670948505401,5.785093307495117,2.044720411300659,0.901547074317932,0.883866548538208,0.5303884744644165,5.454545497894287,2.140495777130127,6.942148685455322,1.3553719520568848,0.8518056869506836,0.833606481552124,0.6881668840468131,0.5572638235338238,0.6852858134049429,0.5548253160001804,0.209281621906526,0.1990291309723002,0.9464312869418456,0.71817193618566,0.790718378093474,0.8009708690276998,0.8615960124222916,0.7573149777148745,0.8448034843940838,0.7800312027458992,105000,0.7026454644186719,0.5600392021029705
8,8,0.1176301538944244,7.725465774536133,0.4372670948505401,5.914285659790039,1.915527939796448,0.9130204319953918,0.8979182243347168,0.5012998580932617,5.68595027923584,1.909090876579285,6.537189960479736,1.7603305578231812,0.8526057600975037,0.8428912162780762,0.7044982743213635,0.5369336061650146,0.7017858793043494,0.5364884290866314,0.1986857368186817,0.2364039976926844,0.9464312869418456,0.7486398246680211,0.8013142631813183,0.7635960023073156,0.8678481707982126,0.7560439543717726,0.8528817759440873,0.7691107632837864,118125,0.7169638761116173,0.537028245339472
9,9,0.1084219738841056,7.744099617004394,0.4186335504055023,6.004969120025635,1.8248447179794312,0.917722225189209,0.9031402468681335,0.5244614481925964,5.578512191772461,2.016528844833374,6.68595027923584,1.6115702390670776,0.8480313420295715,0.8326987028121948,0.7182811054688963,0.54149306788545,0.7156504318833607,0.5402709060380047,0.1907049152023848,0.2241379364657583,0.9487140468982966,0.7344940158829549,0.8092950847976151,0.7758620635342417,0.8734762535534456,0.754611512586352,0.859717262820906,0.7717108679198517,131250,0.7297483250062345,0.5422035805627047
