epoch,loss,acc,tss3,f1b,PrecTf,RecTf,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_acc,val_tss3,val_f1b,val_PrecTf,val_RecTf,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc2,val_acc2,num_train_inst
0,0.25045275688171387,0.5122852921485901,-0.11453201621770859,0.5965108275413513,0.5122852921485901,1.0,8.190886497497559,0.0,0.0,7.79802942276001,0.6857374310493469,0.6987257599830627,0.6929565668106079,0.484375,0.0,0.6377931237220764,0.484375,1.0,7.75,0.0,0.0,8.25,0.5972492694854736,0.6404017806053162,0.0,0.0,0.0,0.0,0.4877147057156074,0.515625,1.0,1.0,0.5122852942843926,0.484375,0.6774982157408387,0.6526315789473685,0.5122852942843926,0.484375,13125
1,0.22477515041828156,0.5125163793563843,-0.14002975821495056,0.5944875478744507,0.5124037265777588,1.0,8.190886497497559,0.0,0.0036945813335478306,7.794334888458252,0.7022178769111633,0.7230740785598755,0.6575679779052734,0.48489582538604736,0.0007575757917948067,0.6405439972877502,0.4846273958683014,1.0,7.75,0.0,0.008333333767950535,8.241666793823242,0.6164166927337646,0.6611760258674622,0.0004854194652041357,0.00097856627072863,0.00047378396655983757,0.0010101010471601501,0.48759630537905135,0.5153725937440476,1.0,1.0,0.5124036946209486,0.4846274062559524,0.6776017493786558,0.6528606493640355,0.5125163641860302,0.48489582949371957,26250
2,0.2057414948940277,0.5132095813751221,-0.12656162679195404,0.595559298992157,0.5127592086791992,1.0,8.190886497497559,0.0,0.014778325334191322,7.7832512855529785,0.7100203633308411,0.7383170127868652,0.6287365555763245,0.49427083134651184,0.017956744879484177,0.6420773863792419,0.48919346928596497,0.9978494644165039,7.733333110809326,0.01666666753590107,0.17499999701976776,8.074999809265137,0.6283360123634338,0.674871563911438,0.0019416100016573293,0.0184793251844866,0.001895135831949002,0.019061583540880056,0.48724077576264857,0.510806537924753,1.0,0.9978494621919254,0.5127592242373514,0.48919346207524705,0.6779125402403096,0.6565263518269342,0.5132095738827867,0.494270832070894,39375
3,0.18476082384586334,0.5186012387275696,-0.09774737060070038,0.598831832408905,0.5155776739120483,0.9977446794509888,8.17241382598877,0.018472906202077866,0.11945813149213791,7.6785712242126465,0.716887891292572,0.7500312328338623,0.6044245362281799,0.5432291626930237,0.09866765886545181,0.6583910584449768,0.5148293375968933,0.9892473220825195,7.666666507720947,0.0833333358168602,1.024999976158142,7.224999904632568,0.6568196415901184,0.6967714428901672,0.013378884353657071,0.11040669289875364,0.01306371544059215,0.11348973443817623,0.48442233715406074,0.4851706789939241,0.9977447000787499,0.9892473112904194,0.5155776628459393,0.5148293210060759,0.6798483828512941,0.6772175175690609,0.5186012555133895,0.5432291646019924,52500
4,0.16081619262695312,0.5285373330116272,-0.049962367862463,0.6025964021682739,0.5209056735038757,0.9927830696105957,8.131772994995117,0.05911330133676529,0.31896552443504333,7.479063987731934,0.7271568179130554,0.7652924060821533,0.6076856851577759,0.4921875,0.01261994894593954,0.6431481838226318,0.4881889820098877,1.0,7.75,0.0,0.125,8.125,0.6406900882720947,0.6881451606750488,0.03447301580354094,0.01468498342018001,0.03368638891514886,0.015151515151515138,0.47909436220539015,0.5118110236220472,0.9927830396860425,1.0,0.5209056377946099,0.4881889763779528,0.6832927935221865,0.656084656084656,0.5285373080104778,0.4921875,65625
5,0.14664238691329956,0.5487175583839417,0.01027196180075407,0.6085718870162964,0.5320336222648621,0.9888738393783569,8.099753379821777,0.0911330059170723,0.6736453175544739,7.12438440322876,0.7392372488975525,0.7757517695426941,0.5724545121192932,0.6885416507720947,0.3413543701171875,0.703576922416687,0.6334404945373535,0.8473118543624878,6.566666603088379,1.1833332777023315,4.449999809265137,3.799999952316284,0.7566354870796204,0.7661769390106201,0.07692428472334889,0.3827893155738916,0.07526045855840602,0.3867057646491845,0.4679663639907764,0.36655948486499296,0.9888738530086629,0.8473118327865575,0.5320336360092236,0.6334405151350071,0.6918424103630174,0.7249310049633418,0.548717539008005,0.6885416661622002,78750
6,0.13500170409679413,0.5938534736633301,0.08983509987592697,0.6151723861694336,0.558959424495697,0.982107937335968,8.04433536529541,0.1465517282485962,1.4507389068603516,6.347290515899658,0.7579243779182434,0.7894790172576904,0.5458654761314392,0.7541666626930237,0.4852806031703949,0.745256245136261,0.7120370268821716,0.8268817067146301,6.4083333015441895,1.3416666984558105,5.6583333015441895,2.5916666984558105,0.8070187568664551,0.8072644472122192,0.17141588902916172,0.5102464252872689,0.1681471221796349,0.5127402983336389,0.44104054457067254,0.28796296649509007,0.9821079540500434,0.8268817163282826,0.5589594554293275,0.71203703350491,0.7124393440441148,0.7651741255575151,0.593853514869101,0.7541666626930237,91875
7,0.1240740567445755,0.680967390537262,0.1759161502122879,0.6283148527145386,0.6203126311302185,0.972485363483429,7.965517044067383,0.22536945343017578,2.9224138259887695,4.87561559677124,0.802150309085846,0.8207863569259644,0.5357065796852112,0.7510416507720947,0.4800511300563812,0.6827514171600342,0.8313782811164856,0.6096774339675903,4.724999904632568,3.0250000953674316,7.291666507720947,0.9583333134651184,0.8353501558303833,0.8346824049949646,0.3522864889420911,0.49753628488313983,0.34724845911972224,0.4935157907782808,0.37968734792640735,0.16862170080287667,0.9724853404452584,0.6096774070493637,0.6203126520735927,0.8313782991971234,0.7574657470283688,0.7034739372454399,0.6809674229546362,0.7510416591656394,105000
8,0.11557847261428833,0.7675421833992004,0.3013581931591034,0.6469686627388,0.6981996893882751,0.9621109366416931,7.880541801452637,0.3103448152542114,4.39162540435791,3.4064040184020996,0.85343998670578,0.8618838787078857,0.5407416820526123,0.753125011920929,0.48579347133636475,0.682205319404602,0.8343108296394348,0.6118279695510864,4.741666793823242,3.008333444595337,7.308333396911621,0.9416666626930237,0.8244966864585876,0.8245255351066589,0.5303316072446567,0.5017410131953122,0.5252821383752804,0.49768654173935234,0.30180033401152095,0.16568914526972708,0.9621109618803408,0.6118279545744633,0.698199665988479,0.8343108547302729,0.8091805725425766,0.7059553349160274,0.7675421633035079,0.7531249978928827,118125
9,0.10632035881280899,0.8310098052024841,0.3630574345588684,0.6718024611473083,0.7706132531166077,0.9541422128677368,7.815270900726318,0.37561577558517456,5.471674919128418,2.326354742050171,0.8924703001976013,0.8951061964035034,0.5327642560005188,0.7526041865348816,0.48621585965156555,0.7080414891242981,0.7731092572212219,0.6924731135368347,5.366666793823242,2.383333444595337,6.675000190734863,1.5750000476837158,0.8263276219367981,0.8238271474838257,0.6597743336859654,0.5031543112023708,0.6558162653066564,0.5015640222120323,0.22938676933979996,0.22689075745700885,0.9541422326508953,0.6924731133838434,0.7706132306602,0.7731092425429912,0.8526131895832941,0.730572883884113,0.8310097782361968,0.7526041641055297,131250
