,epoch,loss,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,mcc,val_mcc
0,0,0.4684762358665466,4.293103218078613,0.0036945813335478,0.0615763552486896,11.630541801452637,0.3557270467281341,0.4349349737167358,0.8348549604415894,2.1416666507720947,0.0666666701436042,0.5249999761581421,13.266666412353516,0.1994620859622955,0.3706629574298858,0.0023745765572092,0.0022442999988827,0.0044066388891657,0.0078777833063214,0.730394440920224,0.8610059477558013,0.9991401547138072,0.9698113190105012,0.269605559079776,0.1389940522441986,0.42462999020542147,0.24314096709150385,0.2723561488020867,0.1666666672099381,13125,0.0306369376772076,0.01439886773185465
1,1,0.4266375005245209,4.2832512855529785,0.0135467983782291,0.2253694534301757,11.46674919128418,0.3772920370101928,0.4646868705749511,0.7728493809700012,2.116666555404663,0.0916666686534881,2.258333444595337,11.533333778381348,0.2504153251647949,0.3817035257816314,0.0087481090772062,0.0384905302785341,0.0161225648206733,0.122236788111339,0.7280475456586702,0.8449328568757934,0.9968472341232671,0.9584905630840276,0.2719524543413297,0.1550671431242065,0.427325218295485,0.2669469080952299,0.2819841278493595,0.2734374923602447,26250,0.05891014332486069,0.11910838752842116
2,2,0.3884497284889221,4.256157398223877,0.0406403951346874,0.6847290396690369,11.007389068603516,0.397285908460617,0.483470469713211,0.8056395053863525,2.116666555404663,0.0916666686534881,5.775000095367432,8.016666412353516,0.4125474691390991,0.454988569021225,0.0271722717712821,0.1504656590414362,0.0491050033773448,0.3772216926494378,0.7211554072656784,0.7911184244967193,0.9905417017301804,0.9584905630840276,0.2788445927343215,0.2088815755032806,0.4351822587179163,0.34301147389778036,0.3090194775112218,0.4932291739416543,39375,0.10460138812449467,0.2700010601776219
3,3,0.3353640735149383,4.198276042938232,0.098522163927555,3.0110838413238525,8.681034088134766,0.4825673401355743,0.5353204011917114,0.5956136584281921,1.2333333492279053,0.975000023841858,11.633333206176758,2.158333301544189,0.8197628855705261,0.7552279829978943,0.1437785635810246,0.3281527761098107,0.2346018828368972,0.4019950954093136,0.6740294316844386,0.636363629973145,0.9770707956984976,0.5584905631858796,0.3259705683155613,0.3636363700268549,0.48885067098290624,0.4404761942775071,0.450897348062481,0.8041666657043,52500,0.26275535889486595,0.339254819526019
4,4,0.2958035767078399,4.045566558837891,0.2512315213680267,6.18842363357544,5.503694534301758,0.6413887143135071,0.6394141316413879,0.5832700133323669,1.2916666269302368,0.9166666865348816,11.366666793823242,2.424999952316284,0.8269593715667725,0.7680271863937378,0.3395465199922567,0.3178942851243804,0.4708121797505611,0.4090748364065213,0.5763476860273206,0.652466370230042,0.9415305265273284,0.5849056476458572,0.4236523139726794,0.347533629769958,0.584363609629205,0.43600562036097923,0.6400677840588643,0.7911458358498445,65625,0.4255499760174554,0.3341246617379193
5,5,0.2603140771389007,3.971674919128418,0.3251231610774994,8.016010284423828,3.6761083602905273,0.7560933232307434,0.7364551424980164,0.5864567160606384,1.3250000476837158,0.8833333253860474,11.358333587646484,2.433333396911621,0.811657726764679,0.7481157779693604,0.4892552212205263,0.3271403345375884,0.6099245308570524,0.423564964935931,0.4806763248879388,0.6474501086141973,0.924333618892811,0.6000000107963128,0.5193236751120611,0.3525498913858027,0.6650170147534002,0.4441340829559577,0.7497496803437771,0.7927083344897256,78750,0.5412711247986156,0.34462183904020344
6,6,0.2309162467718124,3.942118167877197,0.3546797931194305,8.908866882324219,2.7832512855529785,0.8247758150100708,0.802808403968811,0.5454984307289124,1.1333333253860474,1.0750000476837158,11.783333778381348,2.008333444595337,0.8488802313804626,0.7918084859848022,0.5763828348771292,0.3121810793412453,0.6794097721774932,0.367588196795491,0.4138436267071427,0.6392573088224877,0.917454859097642,0.5132075343364584,0.5861563732928572,0.3607426911775124,0.7153072566684839,0.4236759981616368,0.8037433523711011,0.8072916639115042,91875,0.610104366525852,0.3191757245246002
7,7,0.2007482051849365,3.954433441162109,0.3423645198345184,9.584975242614746,2.107142925262451,0.8760695457458496,0.8566766381263733,0.5394874811172485,1.25,0.9583333134651184,11.616666793823242,2.174999952316284,0.8431004285812378,0.7855862975120544,0.6550206366306006,0.3316112629877981,0.740101917979954,0.4083338178153899,0.3476229280775944,0.6350364912692508,0.9203210104495796,0.5660377409416572,0.6523770719224056,0.3649635087307493,0.7635239500263553,0.4437869875701777,0.8467996563773644,0.8041666716181983,105000,0.6762407862443731,0.34337743719024966
8,8,0.1765946298837661,3.980295658111572,0.3165024518966675,9.965517044067385,1.726601004600525,0.9090654253959656,0.8935472965240479,0.4887968301773071,1.024999976158142,1.1833332777023315,12.258333206176758,1.5333333015441897,0.8723375201225281,0.817685067653656,0.7054517738906226,0.3309460989792507,0.7786677115213201,0.3529727025931541,0.3025463937137403,0.5993485348090745,0.9263399294559688,0.4641509493036432,0.6974536062862596,0.4006514651909255,0.7957651144986297,0.43006993225602647,0.8722175139189449,0.8302083362669995,118125,0.7204967407626895,0.332182448662587
9,9,0.1542543321847915,4.01600980758667,0.2807881832122803,10.300492286682127,1.3916256427764893,0.9349161982536316,0.9239003658294678,0.5785157084465027,1.1583333015441897,1.0499999523162842,11.608333587646484,2.183333396911621,0.8310511112213135,0.764744222164154,0.7539837212550997,0.3012877580973561,0.8156292148394702,0.3662201483076059,0.2573445742691534,0.6533665963516179,0.93465176072658,0.5245283063682811,0.7426554257308465,0.3466334036483821,0.827664970229473,0.41741740954817885,0.8954016748646566,0.7979166686845323,131250,0.7642562846765008,0.31075139615672
